"id_station","lat","lon","e"
"4511003",-31.0181,-70.5858,-0.172351989746094
"4531003",-31.0836,-70.95,-0.306977252960205
"4532006",-31.1736,-71.0008,-0.329771881103516
"4732001",-31.3986,-71.4569,-0.338083839416504
"4721002",-31.5331,-70.8211,-0.263882694244385
"4723002",-31.5669,-70.9817,-0.280260829925537
"4730004",-31.5875,-71.4453,-0.351518287658691
"4726003",-31.645,-71.1908,-0.287789192199707
"4713004",-31.7289,-70.8317,-0.250149765014648
"4716005",-31.745,-71.1619,-0.29726016998291
"4711004",-31.7758,-70.9669,-0.278959827423096
"4710001",-31.9,-70.6706,-0.186285820007324
"4711003",-31.9019,-70.7708,-0.2316579246521
"4820001",-31.9103,-71.5086,-0.321304244995117
"4703003",-31.9336,-70.6133,-0.136508722305298
"4900002",-32.0675,-71.2225,-0.26825553894043
"5101005",-32.0836,-70.8,-0.204360523223877
"4902002",-32.1086,-71.3125,-0.268046684265137
"4902003",-32.1175,-71.5,-0.288170490264893
"4900003",-32.1444,-71.1628,-0.262162265777588
"5111002",-32.1567,-71.03,-0.252234592437744
"5101006",-32.1836,-70.7833,-0.192606868743896
"5100006",-32.2261,-70.7839,-0.186013336181641
"5100005",-32.2286,-70.71,-0.162767925262451
"5111001",-32.2528,-71.1386,-0.231720886230469
"5110003",-32.2756,-70.9997,-0.224555854797363
"5111004",-32.3058,-71.0792,-0.228146533966064
"5120004",-32.3075,-71.2425,-0.221715507507324
"5200006",-32.3408,-70.7528,-0.178373317718506
"5120003",-32.3914,-71.0931,-0.223342723846436
"5120006",-32.3919,-71.375,-0.246868457794189
"5200007",-32.4186,-70.6808,-0.18869068145752
"5210002",-32.4261,-70.9167,-0.215099620819092
"5220006",-32.4267,-71.0606,-0.222540874481201
"5221005",-32.4372,-71.2067,-0.221243686676025
"5211004",-32.4856,-70.9319,-0.220443649291992
"5414004",-32.4989,-70.5789,-0.127226629257202
"5220007",-32.5333,-71.1294,-0.246484928131104
"5211003",-32.5864,-70.8694,-0.215206108093262
"5310001",-32.5919,-71.4322,-0.236204376220703
"5421005",-32.7344,-70.9342,-0.21959680557251
"5410008",-32.7472,-70.7247,-0.19485523223877
"5425003",-32.8119,-71.2653,-0.20784086227417
"5410007",-32.8336,-70.6,-0.115052375793457
"5423013",-32.8506,-71.1167,-0.198852272033691
"5410006",-32.8603,-70.4719,-0.0674219942092896
"5426004",-32.8958,-71.2092,-0.185377902984619
"5403006",-32.9228,-70.3553,-0.0489015007019043
"5733010",-32.9472,-70.8064,-0.185930500030518
"5733006",-32.9475,-70.7536,-0.188252792358398
"5427007",-32.9578,-71.345,-0.150809717178345
"5733007",-33.0053,-70.9933,-0.193018684387207
"5733008",-33.0194,-70.9081,-0.199826107025146
"5510001",-33.0503,-71.5833,-0.127574634552002
"5732001",-33.0856,-70.8017,-0.185486450195313
"5427006",-33.0986,-71.2144,-0.151613340377808
"5510002",-33.145,-71.5553,-0.134448251724243
"5741002",-33.1686,-71.1467,-0.15685622215271
"5520002",-33.2897,-71.2914,-0.180394840240479
"5520001",-33.3278,-71.4131,-0.152600040435791
"5720003",-33.3414,-70.3636,-0.0700271415710449
"5730012",-33.395,-70.5367,-0.0918145656585693
"5730014",-33.4328,-70.5344,-0.0862606143951416
"5744002",-33.4386,-71.0256,-0.131443815231323
"5530003",-33.4394,-71.4506,-0.122245826721191
"5730016",-33.4486,-70.6444,-0.123085269927979
"5744003",-33.4797,-71.2811,-0.151143236160278
