"id_station","lat","lon"
"5746001","-33.6614","-71.3372"
"5711003","-33.6736","-70.5869"
"5703008","-33.6767","-70.0886"
"5740005","-33.6803","-71.1997"
"5717008","-33.6958","-70.9236"
"5740004","-33.7597","-71.1514"
"5704004","-33.7825","-70.2394"
"5716004","-33.8044","-70.8783"
"5747001","-33.8908","-71.2408"
"6056003","-33.9458","-71.7336"
"6040001","-34.035","-71.0944"
"6042004","-34.0833","-71.1886"
"6055003","-34.1206","-71.7258"
"6010015","-34.1908","-70.7508"
"6044001","-34.2033","-71.2764"
"6019005","-34.2872","-71.4058"
"6012003","-34.2875","-71.08"
"6120001","-34.3844","-72.0044"
"6015003","-34.4217","-70.8667"
"6013005","-34.4369","-70.7794"
"6018009","-34.4517","-71.0506"
"6013006","-34.4922","-70.7094"
"6018010","-34.5264","-71.2122"
"6132002","-34.5742","-71.7653"
"6016004","-34.5983","-70.9686"
"6027003","-34.7428","-70.7519"
"6034003","-34.7694","-71.1331"
"6036001","-34.7808","-71.4142"
"6130001","-34.8056","-71.6289"
"6130002","-34.8661","-71.7486"
"7106007","-34.9114","-71.0353"
"6130003","-34.9514","-71.5856"
"7104005","-34.9633","-70.9178"
"7118003","-34.9811","-71.2361"
"7103003","-35.0008","-70.8119"
"7119007","-35.0422","-71.2906"
"7116005","-35.1833","-71.0978"
"7200001","-35.2439","-71.98"
"7373003","-35.2578","-71.3239"
"7381003","-35.3725","-71.8325"
"7378002","-35.4358","-71.6197"
"7374005","-35.4864","-71.2931"
"7341002","-35.5389","-72.0914"
"7359005","-35.595","-71.6572"
"7358008","-35.6242","-71.4022"
"7378003","-35.6381","-71.2606"
"7320002","-35.7011","-71.0772"
"7357003","-35.7856","-71.7664"
"7358007","-35.8381","-71.5953"
"7317001","-35.85","-71.0667"
"7355006","-35.8672","-71.1172"
"7337002","-35.8967","-72.3736"
"7355007","-35.9106","-71.2958"
"7352003","-35.9478","-71.6842"
"7335004","-36.0572","-72.0892"
"7345001","-36.1878","-71.8283"
"7331002","-36.2558","-71.5481"
"7350006","-36.285","-71.4142"
"7332003","-36.3581","-71.6494"
"8141002","-36.475","-72.6883"
"8210002","-36.5456","-72.9311"
"8106003","-36.5836","-71.5247"
"8117002","-36.6319","-72.1267"
"8113001","-36.6408","-71.7989"
"8105004","-36.6511","-71.395"
"8135003","-36.6544","-72.4561"
"8133003","-36.7622","-72.4239"
"8130006","-36.8686","-71.6425"
"8130004","-36.9108","-71.4792"
"8130003","-36.9175","-71.5814"
"8130007","-36.9247","-71.5756"
"8132002","-36.9764","-72.1008"
"8123004","-37.1528","-72.0669"
"8367001","-37.2772","-72.7164"
"8122002","-37.2806","-71.8228"
"8122003","-37.2936","-71.9519"
"8364001","-37.3806","-72.3661"
"8334002","-37.5022","-72.4083"
"8319002","-37.5953","-72.2769"
"8318002","-37.685","-72.0058"
"8332002","-37.7147","-72.2436"
"8358002","-37.7794","-72.6372"
"8317003","-37.7797","-71.8664"
"8821005","-37.7983","-73.3914"
"8351003","-37.9583","-72.4256"
"8822008","-38.0186","-73.23"
"9101003","-38.0214","-73.0067"
"8343002","-38.1053","-72.1136"
"9102003","-38.1636","-72.9039"
"8350002","-38.2156","-71.8106"
"9104003","-38.2461","-72.2289"
"9105002","-38.2561","-72.6536"
"9113003","-38.4133","-72.7772"
"9122001","-38.4475","-71.8961"
"8304004","-38.4536","-71.3742"
"9111002","-38.4642","-72.3867"
"9120003","-38.4703","-71.5753"
"9114001","-38.4942","-73.2408"
"9124001","-38.5186","-72.4522"
"9116002","-38.6039","-72.8456"
"8301001","-38.6517","-71.0919"
"9131002","-38.6672","-72.2339"
"9130001","-38.6839","-72.0"
"9129005","-38.7128","-72.5558"
"9153001","-38.7886","-73.3936"
"9401001","-38.8506","-71.55"
"9403001","-38.9269","-72.0125"
"9404002","-38.9586","-72.2006"
"9135003","-38.9592","-72.6083"
"9404003","-39.0006","-72.0667"
"9438001","-39.0278","-73.0781"
"9433003","-39.1506","-72.6503"
"9417001","-39.2","-71.8089"
"9420003","-39.215","-72.2917"
"9420002","-39.2753","-71.9503"
"9414002","-39.3314","-71.8083"
"9412002","-39.3581","-71.5744"
"9420004","-39.4875","-72.2339"
"9412003","-39.5192","-71.5478"
"10106002","-39.5469","-72.1519"
"10111002","-39.7731","-72.4581"
